id,level,thai,roman,hebrew,english,tone,source,cleaned,syllables,detector_tones,new_tone,method
uv19_0125,3,พรุ่งนี้,pru-ngii,מחר,tomorrow,not_drilled,"תומר4,csv.txt",พรุ่งนี้,พฺรุ่ง|นี้,f|h,falling-high,word_tokenize_then_detector_consensus
uv19_0126,3,เมื่อวาน,meua-wan,אתמול,yesterday,not_drilled,"תומר4,csv.txt",เมื่อวาน,เมื่อ|วาน,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0127,3,ตอนเช้า,dtan-chao,בוקר,morning,not_drilled,"תומר4,csv.txt",ตอนเช้า,ตอน|เช้า,m|h,mid-high,word_tokenize_then_detector_consensus
uv19_0128,3,ตอนเที่ยง,dtan-tiang,צהריים,noon,not_drilled,"תומר4,csv.txt",ตอนเที่ยง,ตอน|เที่ยง,m|f,mid-falling,word_tokenize_then_detector_consensus
uv19_0129,3,ตอนเย็น,dtan-yen,ערב,evening,not_drilled,"תומר4,csv.txt",ตอนเย็น,ตอน|เย็น,m|m,mid-mid,word_tokenize_then_detector_consensus
uv19_0130,4,ตอนกลางคืน,dtan-klang-keun,לילה,night,not_drilled,"תומר4,csv.txt",ตอนกลางคืน,,,mid-mid-mid,manual_review_exception
uv19_0131,3,กินข้าว,gin-kaaw,לאכול (אורז/ארוחה),eat / have a meal,not_drilled,"תומר4,csv.txt",กินข้าว,กิน|ข้าว,m|f,mid-falling,word_tokenize_then_detector_consensus
uv19_0132,1,หนึ่ง,nueng,אחד,one,not_drilled,"תומר4,csv.txt",หนึ่ง,หนึ่ง,l,low,word_tokenize_then_detector_consensus
uv19_0133,1,สอง,song,שתיים,two,not_drilled,"תומר4,csv.txt",สอง,สอง,r,rising,word_tokenize_then_detector_consensus
uv19_0134,1,สาม,saam,שלוש,three,not_drilled,"תומר4,csv.txt",สาม,สาม,r,rising,word_tokenize_then_detector_consensus
uv19_0135,1,สี่,sii,ארבע,four,not_drilled,"תומר4,csv.txt",สี่,สี่,l,low,word_tokenize_then_detector_consensus
uv19_0136,1,ห้า,haa,חמש,five,not_drilled,"תומר4,csv.txt",ห้า,ห้า,f,falling,word_tokenize_then_detector_consensus
uv19_0137,1,หก,hok,שש,six,not_drilled,"תומר4,csv.txt",หก,หก,l,low,word_tokenize_then_detector_consensus
uv19_0138,1,เจ็ด,jet,שבע,seven,not_drilled,"תומר4,csv.txt",เจ็ด,เจ็ด,l,low,word_tokenize_then_detector_consensus
uv19_0139,1,แปด,bpaed,שמונה,eight,not_drilled,"תומר4,csv.txt",แปด,แปด,l,low,word_tokenize_then_detector_consensus
uv19_0140,1,เก้า,gao,תשע,nine,not_drilled,"תומר4,csv.txt",เก้า,เก้า,f,falling,word_tokenize_then_detector_consensus
uv19_0141,1,สิบ,sip,עשר,ten,not_drilled,"תומר4,csv.txt",สิบ,สิบ,l,low,word_tokenize_then_detector_consensus
uv19_0142,3,สิบเอ็ด,sip-et,אחת עשרה,eleven,not_drilled,"תומר4,csv.txt",สิบเอ็ด,สิบ|เอ็ด,l|l,low-low,word_tokenize_then_detector_consensus
uv19_0143,3,ยี่สิบ,yii-sip,עשרים,twenty,not_drilled,"תומר4,csv.txt",ยี่สิบ,ยี่|สิบ,f|l,falling-low,word_tokenize_then_detector_consensus
uv19_0144,1,ร้อย,roi,מאה,hundred,not_drilled,"תומר4,csv.txt",ร้อย,ร้อย,h,high,word_tokenize_then_detector_consensus
uv19_0145,1,พัน,pan,אלף,thousand,not_drilled,"תומר4,csv.txt",พัน,พัน,m,mid,word_tokenize_then_detector_consensus
uv19_0146,1,หมื่น,meun,עשרת אלפים,ten thousand,not_drilled,"תומר4,csv.txt",หมื่น,หฺมื่น,l,low,word_tokenize_then_detector_consensus
uv19_0147,1,แสน,san,מאה אלף,hundred thousand,not_drilled,"תומר4,csv.txt",แสน,แสน,r,rising,word_tokenize_then_detector_consensus
uv19_0148,1,ล้าน,lan,מיליון,million,not_drilled,"תומר4,csv.txt",ล้าน,ล้าน,h,high,word_tokenize_then_detector_consensus
uv19_0149,1,หน้า,naa,פנים / עונה / דף,face / season / page,not_drilled,"תומר4,csv.txt",หน้า,น่า,f,falling,word_tokenize_then_detector_consensus
uv19_0150,3,หน้าร้อน,naa-rawn,העונה החמה,hot season,not_drilled,"תומר4,csv.txt",หน้าร้อน,น่า|ร้อน,f|h,falling-high,word_tokenize_then_detector_consensus
uv19_0151,3,หน้าฝน,naa-fon,עונת הגשמים,rainy season,not_drilled,"תומר4,csv.txt",หน้าฝน,น่า|ฝน,f|r,falling-rising,word_tokenize_then_detector_consensus
uv19_0152,3,หน้าหนาว,naa-nao,העונה הקרה,cold season,not_drilled,"תומר4,csv.txt",หน้าหนาว,น่า|หฺนาว,f|r,falling-rising,word_tokenize_then_detector_consensus
uv19_0153,1,ใกล้,glai,קרוב (טון נמוך),near,not_drilled,"תומר4,csv.txt",ใกล้,ไกฺล้,f,falling,word_tokenize_then_detector_consensus
uv19_0154,1,ไกล,glai,רחוק (טון גבוה),far,not_drilled,"תומר4,csv.txt",ไกล,ไกล,m,mid,word_tokenize_then_detector_consensus
uv19_0155,1,ต้อง,dtong,חייב,must,not_drilled,"תומר4,csv.txt",ต้อง,ต้อง,f,falling,word_tokenize_then_detector_consensus
uv19_0156,1,กลัว,glua,לפחד,afraid,not_drilled,"תומר4,csv.txt",กลัว,,,mid,manual_review_exception
uv19_0157,3,ประมาณ,bpra-maan,בערך,about / approximately,not_drilled,"תומר4,csv.txt",ประมาณ,ประ|มาน,l|m,low-mid,word_tokenize_then_detector_consensus
uv19_0158,1,กลับ,glap,לחזור,return,not_drilled,"תומר4,csv.txt",กลับ,,,low,manual_review_exception
uv19_0159,3,กลับบ้าน,glap baan,לחזור הביתה,return home,not_drilled,"תומר4,csv.txt",กลับบ้าน,กลับ|บ้าน,l|f,low-falling,word_tokenize_then_detector_consensus
uv19_0160,1,เหงื่อ,heua,זיעה,sweat,not_drilled,"תומר 5,csv.txt",เหงื่อ,เหงื่อ,l,low,word_tokenize_then_detector_consensus
uv19_0161,3,เหงื่อออก,heua-awk,להזיע,sweat / perspire,not_drilled,"תומר 5,csv.txt",เหงื่อออก,เหงื่อ|ออก,l|l,low-low,word_tokenize_then_detector_consensus
uv19_0162,1,เหนื่อย,nuay,עייף,tired,not_drilled,"תומר 5,csv.txt",เหนื่อย,เหนื่อย,l,low,word_tokenize_then_detector_consensus
uv19_0163,1,หิว,hiu,רעב,hungry,not_drilled,"תומר 5,csv.txt",หิว,หิว,r,rising,word_tokenize_then_detector_consensus
uv19_0164,3,หิวน้ำ,hiu-nam,צמא,thirsty,not_drilled,"תומר 5,csv.txt",หิวน้ำ,หิว|น้ำ,r|h,rising-high,word_tokenize_then_detector_consensus
uv19_0165,1,อิ่ม,im,שבע (מאוכל),full from food,not_drilled,"תומר 5,csv.txt",อิ่ม,อิ่ม,l,low,word_tokenize_then_detector_consensus
uv19_0166,1,เผ็ด,pet,חריף,spicy,not_drilled,"תומר 5,csv.txt",เผ็ด,เผ็ด,l,low,word_tokenize_then_detector_consensus
uv19_0167,1,เค็ม,kem,מלוח,salty,not_drilled,"תומר 5,csv.txt",เค็ม,เค็ม,m,mid,word_tokenize_then_detector_consensus
uv19_0168,1,เปรี้ยว,bpreaw,חמוץ,sour,not_drilled,"תומר 5,csv.txt",เปรี้ยว,เปฺรี้ยว,f,falling,word_tokenize_then_detector_consensus
uv19_0169,1,ขม,kom,מר,bitter,not_drilled,"תומר 5,csv.txt",ขม,ขม,r,rising,word_tokenize_then_detector_consensus
uv19_0170,1,มัน,man,שומני,oily / fatty,not_drilled,"תומר 5,csv.txt",มัน,มัน,m,mid,word_tokenize_then_detector_consensus
uv19_0171,1,จืด,juad,תפל,bland,not_drilled,"תומר 5,csv.txt",จืด,จืด,l,low,word_tokenize_then_detector_consensus
uv19_0172,3,ขยะ,ka-ya,זבל,trash,not_drilled,"תומר 5,csv.txt",ขยะ,ขะ|หฺยะ,l|l,low-low,word_tokenize_then_detector_consensus
uv19_0173,4,ไม่เป็นไร,mai-pen-rai,לא משנה / אין בעיה,never mind / no problem,not_drilled,"תומר 5,csv.txt",ไม่เป็นไร,ไม่|เป็น|ไร,f|m|m,falling-mid-mid,word_tokenize_then_detector_consensus
uv19_0174,3,โชคดี,chok-dee,בהצלחה,good luck,not_drilled,"תומר 5,csv.txt",โชคดี,โชก|ดี,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0175,3,ลาก่อน,la-gon,להתראות,goodbye,not_drilled,"תומר 5,csv.txt",ลาก่อน,ลา|ก่อน,m|l,mid-low,word_tokenize_then_detector_consensus
uv19_0176,4,ไปก่อนนะ,pai-gon-na,אני הולך עכשיו (להתראות),I am going now / bye,not_drilled,"תומר 5,csv.txt",ไปก่อนนะ,ไป|ก่อน|นะ,m|l|h,mid-low-high,word_tokenize_then_detector_consensus
uv19_0177,3,ไปแล้ว,bpai-leaw,כבר הלכתי / הלכתי,already went,not_drilled,"תומר 5,csv.txt",ไปแล้ว,ไป|แล้ว,m|h,mid-high,word_tokenize_then_detector_consensus
uv19_0178,3,เจอกัน,jer-gan,נתראה,see you,not_drilled,"תומר 5,csv.txt",เจอกัน,เจ|กัน,l|m,low-mid,word_tokenize_then_detector_consensus
uv19_0179,3,ทุกวัน,tuk-wan,כל יום,every day,not_drilled,"תומר 5,csv.txt",ทุกวัน,ทุก|วัน,h|m,high-mid,word_tokenize_then_detector_consensus
uv19_0180,3,ทุกอย่าง,tuk-yaang,הכל,everything,not_drilled,"תומר 5,csv.txt",ทุกอย่าง,ทุก|หฺย่าง,h|l,high-low,word_tokenize_then_detector_consensus
uv19_0181,3,บางที,bang-ti,לפעמים,sometimes,not_drilled,"תומר 5,csv.txt",บางที,บาง|ที,m|m,mid-mid,word_tokenize_then_detector_consensus
uv19_0182,3,บางคน,bang-kon,חלק מהאנשים,some people,not_drilled,"תומר 5,csv.txt",บางคน,บาง|คน,m|m,mid-mid,word_tokenize_then_detector_consensus
uv19_0183,3,ไม่เคย,mai-koey,אף פעם לא,never,not_drilled,"תומר 5,csv.txt",ไม่เคย,ไม่|เคย,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0184,1,เคย,koey,פעם / כבר עשיתי,ever,not_drilled,"תומר 5,csv.txt",เคย,เคย,m,mid,word_tokenize_then_detector_consensus
uv19_0185,1,เบื่อ,bua,משעמם,bored,not_drilled,"תומר 5,csv.txt",เบื่อ,เบื่อ,l,low,word_tokenize_then_detector_consensus
uv19_0186,3,ง่วงนอน,nguang-non,ישנוני,sleepy,not_drilled,"תומר 5,csv.txt",ง่วงนอน,ง่วง|นอน,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0187,1,สนุก,sanook,כיף,fun,not_drilled,"תומר 5,csv.txt",สนุก,สะ|หฺนุก,l|l,low-low,word_tokenize_then_detector_consensus
uv19_0188,1,เป็น,bpen,להיות / לדעת לעשות,be / know how to,not_drilled,"תומר 5,csv.txt",เป็น,เป็น,m,mid,word_tokenize_then_detector_consensus
uv19_0189,1,คือ,kue,זה / הוא (להגדרות),is / means,not_drilled,"תומר 5,csv.txt",คือ,คือ,m,mid,word_tokenize_then_detector_consensus
uv19_0190,4,สวัสดี,sa-waat-dee,שלום,hello,not_drilled,"תומר 5,csv.txt",สวัสดี,สะ|หวัด|ดี,l|l|m,low-low-mid,word_tokenize_then_detector_consensus
uv19_0191,3,ขอบคุณ,kob-kun,תודה,thank you,not_drilled,"תומר 5,csv.txt",ขอบคุณ,ขอบ|คุน,l|m,low-mid,word_tokenize_then_detector_consensus
uv19_0192,5,ยินดีที่ได้รู้จัก,yin-dee tii dai ruu-jak,נעים להכיר,nice to meet you,not_drilled,"תומר 5,csv.txt",ยินดีที่ได้รู้จัก,ยิน|ดี|ที่|ด้าย|รู้|จัก,m|m|f|f|h|l,mid-mid-falling-falling-high-low,word_tokenize_then_detector_consensus
uv19_0193,5,ที่ไหน,tii-nai?,איפה?,where?,not_drilled,"תומר 5,csv.txt",ที่ไหน,ที่|ไหฺน,f|r,falling-rising,word_tokenize_then_detector_consensus
uv19_0194,5,เมื่อไร,meua-rai?,מתי?,when?,not_drilled,"תומר 5,csv.txt",เมื่อไร,เมื่อ|ไร,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0195,5,ยังไง,yang-ngai?,איך?,how?,not_drilled,"תומר 5,csv.txt",ยังไง,ยัง|ไง,m|m,mid-mid,word_tokenize_then_detector_consensus
uv19_0196,3,เพราะว่า,prow-wa,בגלל ש...,because,not_drilled,"תומר 5,csv.txt",เพราะว่า,เพฺราะ|ว่า,h|f,high-falling,word_tokenize_then_detector_consensus
uv19_0197,4,ขนมปัง,ka-nom-bpang,לחם,bread,not_drilled,"תומר 5,csv.txt",ขนมปัง,ขะ|หฺนม|ปัง,l|r|m,low-rising-mid,word_tokenize_then_detector_consensus
