id,level,type,prompt_he,prompt_en,answer_thai,answer_roman,answer_he,answer_en,source_vocab_id
qv19_0035,5,write_he_to_thai,כתוב בתאית: מה השם שלך? — What is your name? (kun¹ cheuu³ a-rai¹?),Write in Thai: What is your name? — מה השם שלך? (kun¹ cheuu³ a-rai¹?),คุณชื่ออะไร,kun¹ cheuu³ a-rai¹?,מה השם שלך?,What is your name?,vocab_0012
qv19_0036,5,write_roman_to_thai,כתוב בתאית לפי התעתיק: kun¹ cheuu³ a-rai¹? — מה השם שלך? / What is your name?,Write Thai from romanization: kun¹ cheuu³ a-rai¹? — What is your name? / מה השם שלך?,คุณชื่ออะไร,kun¹ cheuu³ a-rai¹?,מה השם שלך?,What is your name?,vocab_0012
qv19_0037,4,mcq_read_meaning,מה המשמעות של ผมชื่อ… (pom⁵ cheuu³ (name))?,What does ผมชื่อ… (pom⁵ cheuu³ (name)) mean?,ผมชื่อ…,pom⁵ cheuu³ (name),השם שלי הוא...,My name is… (male),vocab_0013
qv19_0038,4,write_he_to_thai,כתוב בתאית: השם שלי הוא... — My name is… (male) (pom⁵ cheuu³ (name)),Write in Thai: My name is… (male) — השם שלי הוא... (pom⁵ cheuu³ (name)),ผมชื่อ…,pom⁵ cheuu³ (name),השם שלי הוא...,My name is… (male),vocab_0013
qv19_0039,4,write_roman_to_thai,כתוב בתאית לפי התעתיק: pom⁵ cheuu³ (name) — השם שלי הוא... / My name is… (male),Write Thai from romanization: pom⁵ cheuu³ (name) — My name is… (male) / השם שלי הוא...,ผมชื่อ…,pom⁵ cheuu³ (name),השם שלי הוא...,My name is… (male),vocab_0013
qv19_0040,4,mcq_read_meaning,מה המשמעות של ฉันชื่อ… (chan⁵ cheuu³ (name))?,What does ฉันชื่อ… (chan⁵ cheuu³ (name)) mean?,ฉันชื่อ…,chan⁵ cheuu³ (name),השם שלי הוא...,My name is… (female),vocab_0014
qv19_0041,4,write_he_to_thai,כתוב בתאית: השם שלי הוא... — My name is… (female) (chan⁵ cheuu³ (name)),Write in Thai: My name is… (female) — השם שלי הוא... (chan⁵ cheuu³ (name)),ฉันชื่อ…,chan⁵ cheuu³ (name),השם שלי הוא...,My name is… (female),vocab_0014
qv19_0042,4,write_roman_to_thai,כתוב בתאית לפי התעתיק: chan⁵ cheuu³ (name) — השם שלי הוא... / My name is… (female),Write Thai from romanization: chan⁵ cheuu³ (name) — My name is… (female) / השם שלי הוא...,ฉันชื่อ…,chan⁵ cheuu³ (name),השם שלי הוא...,My name is… (female),vocab_0014
qv19_0043,1,mcq_read_meaning,מה המשמעות של มา (maa¹)?,What does มา (maa¹) mean?,มา,maa¹,לבוא,come,vocab_0015
qv19_0044,1,write_he_to_thai,כתוב בתאית: לבוא — come (maa¹),Write in Thai: come — לבוא (maa¹),มา,maa¹,לבוא,come,vocab_0015
qv19_0045,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: maa¹ — לבוא / come,Write Thai from romanization: maa¹ — come / לבוא,มา,maa¹,לבוא,come,vocab_0015
qv19_0046,1,mcq_read_meaning,מה המשמעות של ไป (bpai¹)?,What does ไป (bpai¹) mean?,ไป,bpai¹,ללכת,go,vocab_0016
qv19_0047,1,write_he_to_thai,כתוב בתאית: ללכת — go (bpai¹),Write in Thai: go — ללכת (bpai¹),ไป,bpai¹,ללכת,go,vocab_0016
qv19_0048,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: bpai¹ — ללכת / go,Write Thai from romanization: bpai¹ — go / ללכת,ไป,bpai¹,ללכת,go,vocab_0016
qv19_0049,1,mcq_read_meaning,מה המשמעות של อยู่ (yuu²)?,What does อยู่ (yuu²) mean?,อยู่,yuu²,להיות / לגור,be / live / stay,vocab_0017
qv19_0050,1,write_he_to_thai,כתוב בתאית: להיות / לגור — be / live / stay (yuu²),Write in Thai: be / live / stay — להיות / לגור (yuu²),อยู่,yuu²,להיות / לגור,be / live / stay,vocab_0017
qv19_0051,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: yuu² — להיות / לגור / be / live / stay,Write Thai from romanization: yuu² — be / live / stay / להיות / לגור,อยู่,yuu²,להיות / לגור,be / live / stay,vocab_0017
qv19_0052,1,mcq_read_meaning,מה המשמעות של ท้อง (thong³)?,What does ท้อง (thong³) mean?,ท้อง,thong³,בטן,belly,vocab_0018
qv19_0053,1,write_he_to_thai,כתוב בתאית: בטן — belly (thong³),Write in Thai: belly — בטן (thong³),ท้อง,thong³,בטן,belly,vocab_0018
qv19_0054,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: thong³ — בטן / belly,Write Thai from romanization: thong³ — belly / בטן,ท้อง,thong³,בטן,belly,vocab_0018
qv19_0055,1,mcq_read_meaning,מה המשמעות של หิน (hin⁵)?,What does หิน (hin⁵) mean?,หิน,hin⁵,אבן,stone,vocab_0019
qv19_0056,1,write_he_to_thai,כתוב בתאית: אבן — stone (hin⁵),Write in Thai: stone — אבן (hin⁵),หิน,hin⁵,אבן,stone,vocab_0019
qv19_0057,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: hin⁵ — אבן / stone,Write Thai from romanization: hin⁵ — stone / אבן,หิน,hin⁵,אבן,stone,vocab_0019
qv19_0058,1,mcq_read_meaning,מה המשמעות של กอง (kong¹)?,What does กอง (kong¹) mean?,กอง,kong¹,ערימה,pile,vocab_0020
qv19_0059,1,write_he_to_thai,כתוב בתאית: ערימה — pile (kong¹),Write in Thai: pile — ערימה (kong¹),กอง,kong¹,ערימה,pile,vocab_0020
qv19_0060,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: kong¹ — ערימה / pile,Write Thai from romanization: kong¹ — pile / ערימה,กอง,kong¹,ערימה,pile,vocab_0020
qv19_0061,4,mcq_read_meaning,מה המשמעות של ผมอยู่… (pom⁵ yuu² (place))?,What does ผมอยู่… (pom⁵ yuu² (place)) mean?,ผมอยู่…,pom⁵ yuu² (place),אני גר ב...,I live/stay in…,vocab_0021
qv19_0062,4,write_he_to_thai,כתוב בתאית: אני גר ב... — I live/stay in… (pom⁵ yuu² (place)),Write in Thai: I live/stay in… — אני גר ב... (pom⁵ yuu² (place)),ผมอยู่…,pom⁵ yuu² (place),אני גר ב...,I live/stay in…,vocab_0021
qv19_0063,4,write_roman_to_thai,כתוב בתאית לפי התעתיק: pom⁵ yuu² (place) — אני גר ב... / I live/stay in…,Write Thai from romanization: pom⁵ yuu² (place) — I live/stay in… / אני גר ב...,ผมอยู่…,pom⁵ yuu² (place),אני גר ב...,I live/stay in…,vocab_0021
qv19_0064,1,mcq_read_meaning,מה המשמעות של หวาน (waan⁵)?,What does หวาน (waan⁵) mean?,หวาน,waan⁵,מתוק,sweet,vocab_0022
qv19_0065,1,write_he_to_thai,כתוב בתאית: מתוק — sweet (waan⁵),Write in Thai: sweet — מתוק (waan⁵),หวาน,waan⁵,מתוק,sweet,vocab_0022
qv19_0066,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: waan⁵ — מתוק / sweet,Write Thai from romanization: waan⁵ — sweet / מתוק,หวาน,waan⁵,מתוק,sweet,vocab_0022
qv19_0067,1,mcq_read_meaning,מה המשמעות של ค่าย (kaai³)?,What does ค่าย (kaai³) mean?,ค่าย,kaai³,מחנה,camp,vocab_0023
qv19_0068,1,write_he_to_thai,כתוב בתאית: מחנה — camp (kaai³),Write in Thai: camp — מחנה (kaai³),ค่าย,kaai³,מחנה,camp,vocab_0023
qv19_0069,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: kaai³ — מחנה / camp,Write Thai from romanization: kaai³ — camp / מחנה,ค่าย,kaai³,מחנה,camp,vocab_0023
qv19_0070,1,mcq_read_meaning,מה המשמעות של ชา (chaa¹)?,What does ชา (chaa¹) mean?,ชา,chaa¹,תה,tea,vocab_0024
qv19_0071,1,write_he_to_thai,כתוב בתאית: תה — tea (chaa¹),Write in Thai: tea — תה (chaa¹),ชา,chaa¹,תה,tea,vocab_0024
qv19_0072,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: chaa¹ — תה / tea,Write Thai from romanization: chaa¹ — tea / תה,ชา,chaa¹,תה,tea,vocab_0024
qv19_0073,5,mcq_read_meaning,מה המשמעות של อะไร (a-rai¹)?,What does อะไร (a-rai¹) mean?,อะไร,a-rai¹,מה?,what,vocab_0025
qv19_0074,5,write_he_to_thai,כתוב בתאית: מה? — what (a-rai¹),Write in Thai: what — מה? (a-rai¹),อะไร,a-rai¹,מה?,what,vocab_0025
qv19_0075,5,write_roman_to_thai,כתוב בתאית לפי התעתיק: a-rai¹ — מה? / what,Write Thai from romanization: a-rai¹ — what / מה?,อะไร,a-rai¹,מה?,what,vocab_0025
qv19_0076,1,mcq_read_meaning,מה המשמעות של ดื่ม (deuum²)?,What does ดื่ม (deuum²) mean?,ดื่ม,deuum²,לשתות,drink,vocab_0026
qv19_0077,1,write_he_to_thai,כתוב בתאית: לשתות — drink (deuum²),Write in Thai: drink — לשתות (deuum²),ดื่ม,deuum²,לשתות,drink,vocab_0026
qv19_0078,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: deuum² — לשתות / drink,Write Thai from romanization: deuum² — drink / לשתות,ดื่ม,deuum²,לשתות,drink,vocab_0026
qv19_0079,1,mcq_read_meaning,מה המשמעות של บ้าน (baan³)?,What does บ้าน (baan³) mean?,บ้าน,baan³,בית,house / home,vocab_0027
qv19_0080,1,write_he_to_thai,כתוב בתאית: בית — house / home (baan³),Write in Thai: house / home — בית (baan³),บ้าน,baan³,בית,house / home,vocab_0027
qv19_0081,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: baan³ — בית / house / home,Write Thai from romanization: baan³ — house / home / בית,บ้าน,baan³,בית,house / home,vocab_0027
qv19_0082,1,mcq_read_meaning,מה המשמעות של ใต้ (dtai³)?,What does ใต้ (dtai³) mean?,ใต้,dtai³,דרום / מתחת,south / under,vocab_0028
qv19_0083,1,write_he_to_thai,כתוב בתאית: דרום / מתחת — south / under (dtai³),Write in Thai: south / under — דרום / מתחת (dtai³),ใต้,dtai³,דרום / מתחת,south / under,vocab_0028
qv19_0084,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: dtai³ — דרום / מתחת / south / under,Write Thai from romanization: dtai³ — south / under / דרום / מתחת,ใต้,dtai³,דרום / מתחת,south / under,vocab_0028
qv19_0085,1,mcq_read_meaning,מה המשמעות של ร้อน (rawn¹)?,What does ร้อน (rawn¹) mean?,ร้อน,rawn¹,חם,hot,vocab_0029
qv19_0086,1,write_he_to_thai,כתוב בתאית: חם — hot (rawn¹),Write in Thai: hot — חם (rawn¹),ร้อน,rawn¹,חם,hot,vocab_0029
qv19_0087,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: rawn¹ — חם / hot,Write Thai from romanization: rawn¹ — hot / חם,ร้อน,rawn¹,חם,hot,vocab_0029
qv19_0088,1,mcq_read_meaning,מה המשמעות של ไหม (mai¹?)?,What does ไหม (mai¹?) mean?,ไหม,mai¹?,מילת שאלה (כן/לא),yes/no question particle,vocab_0030
qv19_0089,1,write_he_to_thai,כתוב בתאית: מילת שאלה (כן/לא) — yes/no question particle (mai¹?),Write in Thai: yes/no question particle — מילת שאלה (כן/לא) (mai¹?),ไหม,mai¹?,מילת שאלה (כן/לא),yes/no question particle,vocab_0030
qv19_0090,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: mai¹? — מילת שאלה (כן/לא) / yes/no question particle,Write Thai from romanization: mai¹? — yes/no question particle / מילת שאלה (כן/לא),ไหม,mai¹?,מילת שאלה (כן/לא),yes/no question particle,vocab_0030
qv19_0091,5,mcq_read_meaning,מה המשמעות של ใช่ไหม (chai³ mai¹?)?,What does ใช่ไหม (chai³ mai¹?) mean?,ใช่ไหม,chai³ mai¹?,נכון?,right? / correct?,vocab_0031
qv19_0092,5,write_he_to_thai,כתוב בתאית: נכון? — right? / correct? (chai³ mai¹?),Write in Thai: right? / correct? — נכון? (chai³ mai¹?),ใช่ไหม,chai³ mai¹?,נכון?,right? / correct?,vocab_0031
qv19_0093,5,write_roman_to_thai,כתוב בתאית לפי התעתיק: chai³ mai¹? — נכון? / right? / correct?,Write Thai from romanization: chai³ mai¹? — right? / correct? / נכון?,ใช่ไหม,chai³ mai¹?,נכון?,right? / correct?,vocab_0031
qv19_0094,1,mcq_read_meaning,מה המשמעות של ไม่ (mai³)?,What does ไม่ (mai³) mean?,ไม่,mai³,לא / אל,not / no,vocab_0032
qv19_0095,1,write_he_to_thai,כתוב בתאית: לא / אל — not / no (mai³),Write in Thai: not / no — לא / אל (mai³),ไม่,mai³,לא / אל,not / no,vocab_0032
qv19_0096,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: mai³ — לא / אל / not / no,Write Thai from romanization: mai³ — not / no / לא / אל,ไม่,mai³,לא / אל,not / no,vocab_0032
qv19_0097,1,mcq_read_meaning,מה המשמעות של สวย (suai⁵)?,What does สวย (suai⁵) mean?,สวย,suai⁵,יפה,beautiful,vocab_0033
qv19_0098,1,write_he_to_thai,כתוב בתאית: יפה — beautiful (suai⁵),Write in Thai: beautiful — יפה (suai⁵),สวย,suai⁵,יפה,beautiful,vocab_0033
qv19_0099,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: suai⁵ — יפה / beautiful,Write Thai from romanization: suai⁵ — beautiful / יפה,สวย,suai⁵,יפה,beautiful,vocab_0033
qv19_0100,5,mcq_read_meaning,מה המשמעות של สบายดีไหม (sa-baai dii mai?)?,What does สบายดีไหม (sa-baai dii mai?) mean?,สบายดีไหม,sa-baai dii mai?,מה שלומך?,How are you?,vocab_0034
qv19_0101,5,write_he_to_thai,כתוב בתאית: מה שלומך? — How are you? (sa-baai dii mai?),Write in Thai: How are you? — מה שלומך? (sa-baai dii mai?),สบายดีไหม,sa-baai dii mai?,מה שלומך?,How are you?,vocab_0034
qv19_0102,5,write_roman_to_thai,כתוב בתאית לפי התעתיק: sa-baai dii mai? — מה שלומך? / How are you?,Write Thai from romanization: sa-baai dii mai? — How are you? / מה שלומך?,สบายดีไหม,sa-baai dii mai?,מה שלומך?,How are you?,vocab_0034
qv19_0103,4,mcq_read_meaning,מה המשמעות של สบายดี (sa-baai dii)?,What does สบายดี (sa-baai dii) mean?,สบายดี,sa-baai dii,הכל טוב / בסדר,I am fine / okay,vocab_0035
qv19_0104,4,write_he_to_thai,כתוב בתאית: הכל טוב / בסדר — I am fine / okay (sa-baai dii),Write in Thai: I am fine / okay — הכל טוב / בסדר (sa-baai dii),สบายดี,sa-baai dii,הכל טוב / בסדר,I am fine / okay,vocab_0035
qv19_0105,4,write_roman_to_thai,כתוב בתאית לפי התעתיק: sa-baai dii — הכל טוב / בסדר / I am fine / okay,Write Thai from romanization: sa-baai dii — I am fine / okay / הכל טוב / בסדר,สบายดี,sa-baai dii,הכל טוב / בסדר,I am fine / okay,vocab_0035
qv19_0106,4,mcq_read_meaning,מה המשמעות של ไม่สบาย (mai sa-baai)?,What does ไม่สบาย (mai sa-baai) mean?,ไม่สบาย,mai sa-baai,לא מרגיש טוב,not feeling well,vocab_0036
qv19_0107,4,write_he_to_thai,כתוב בתאית: לא מרגיש טוב — not feeling well (mai sa-baai),Write in Thai: not feeling well — לא מרגיש טוב (mai sa-baai),ไม่สบาย,mai sa-baai,לא מרגיש טוב,not feeling well,vocab_0036
qv19_0108,4,write_roman_to_thai,כתוב בתאית לפי התעתיק: mai sa-baai — לא מרגיש טוב / not feeling well,Write Thai from romanization: mai sa-baai — not feeling well / לא מרגיש טוב,ไม่สบาย,mai sa-baai,לא מרגיש טוב,not feeling well,vocab_0036
qv19_0109,3,mcq_read_meaning,מה המשמעות של ตีหมา (dtii¹ maa¹)?,What does ตีหมา (dtii¹ maa¹) mean?,ตีหมา,dtii¹ maa¹,להרביץ לכלב,hit a dog,vocab_0037
qv19_0110,3,write_he_to_thai,כתוב בתאית: להרביץ לכלב — hit a dog (dtii¹ maa¹),Write in Thai: hit a dog — להרביץ לכלב (dtii¹ maa¹),ตีหมา,dtii¹ maa¹,להרביץ לכלב,hit a dog,vocab_0037
qv19_0111,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: dtii¹ maa¹ — להרביץ לכלב / hit a dog,Write Thai from romanization: dtii¹ maa¹ — hit a dog / להרביץ לכלב,ตีหมา,dtii¹ maa¹,להרביץ לכלב,hit a dog,vocab_0037
qv19_0112,1,mcq_read_meaning,מה המשמעות של ตอบ (dtawb²)?,What does ตอบ (dtawb²) mean?,ตอบ,dtawb²,לענות,answer,vocab_0038
qv19_0113,1,write_he_to_thai,כתוב בתאית: לענות — answer (dtawb²),Write in Thai: answer — לענות (dtawb²),ตอบ,dtawb²,לענות,answer,vocab_0038
qv19_0114,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: dtawb² — לענות / answer,Write Thai from romanization: dtawb² — answer / לענות,ตอบ,dtawb²,לענות,answer,vocab_0038
qv19_0115,1,mcq_read_meaning,מה המשמעות של งู (nguu¹)?,What does งู (nguu¹) mean?,งู,nguu¹,נחש,snake,vocab_0039
qv19_0116,1,write_he_to_thai,כתוב בתאית: נחש — snake (nguu¹),Write in Thai: snake — נחש (nguu¹),งู,nguu¹,נחש,snake,vocab_0039
qv19_0117,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: nguu¹ — נחש / snake,Write Thai from romanization: nguu¹ — snake / נחש,งู,nguu¹,נחש,snake,vocab_0039
qv19_0118,1,mcq_read_meaning,מה המשמעות של เงิน (ngoen¹)?,What does เงิน (ngoen¹) mean?,เงิน,ngoen¹,כסף,money,vocab_0040
qv19_0119,1,write_he_to_thai,כתוב בתאית: כסף — money (ngoen¹),Write in Thai: money — כסף (ngoen¹),เงิน,ngoen¹,כסף,money,vocab_0040
qv19_0120,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: ngoen¹ — כסף / money,Write Thai from romanization: ngoen¹ — money / כסף,เงิน,ngoen¹,כסף,money,vocab_0040
qv19_0121,1,mcq_read_meaning,מה המשמעות של งาน (ngaan¹)?,What does งาน (ngaan¹) mean?,งาน,ngaan¹,עבודה,work / job,vocab_0041
qv19_0122,1,write_he_to_thai,כתוב בתאית: עבודה — work / job (ngaan¹),Write in Thai: work / job — עבודה (ngaan¹),งาน,ngaan¹,עבודה,work / job,vocab_0041
qv19_0123,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: ngaan¹ — עבודה / work / job,Write Thai from romanization: ngaan¹ — work / job / עבודה,งาน,ngaan¹,עבודה,work / job,vocab_0041
qv19_0124,1,mcq_read_meaning,מה המשמעות של มี (mii¹)?,What does มี (mii¹) mean?,มี,mii¹,יש,have / there is,vocab_0042
qv19_0125,1,write_he_to_thai,כתוב בתאית: יש — have / there is (mii¹),Write in Thai: have / there is — יש (mii¹),มี,mii¹,יש,have / there is,vocab_0042
qv19_0126,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: mii¹ — יש / have / there is,Write Thai from romanization: mii¹ — have / there is / יש,มี,mii¹,יש,have / there is,vocab_0042
qv19_0127,3,mcq_read_meaning,מה המשמעות של ทำงาน (tam¹-ngaan¹)?,What does ทำงาน (tam¹-ngaan¹) mean?,ทำงาน,tam¹-ngaan¹,לעבוד,work,vocab_0043
qv19_0128,3,write_he_to_thai,כתוב בתאית: לעבוד — work (tam¹-ngaan¹),Write in Thai: work — לעבוד (tam¹-ngaan¹),ทำงาน,tam¹-ngaan¹,לעבוד,work,vocab_0043
qv19_0129,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: tam¹-ngaan¹ — לעבוד / work,Write Thai from romanization: tam¹-ngaan¹ — work / לעבוד,ทำงาน,tam¹-ngaan¹,לעבוד,work,vocab_0043
qv19_0130,1,mcq_read_meaning,מה המשמעות של ทำ (tam¹)?,What does ทำ (tam¹) mean?,ทำ,tam¹,לעשות / להכין,do / make,vocab_0044
qv19_0131,1,write_he_to_thai,כתוב בתאית: לעשות / להכין — do / make (tam¹),Write in Thai: do / make — לעשות / להכין (tam¹),ทำ,tam¹,לעשות / להכין,do / make,vocab_0044
qv19_0132,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: tam¹ — לעשות / להכין / do / make,Write Thai from romanization: tam¹ — do / make / לעשות / להכין,ทำ,tam¹,לעשות / להכין,do / make,vocab_0044
