id,thai,transliteration,normalized_transliteration,he,english,confidence,suggested_level,active_for_questions,source_file,sources,original_front,original_back,note
vocab_0023,ค่าย,kaai³,kaai,מחנה,camp,high_context_disambiguated,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",kaai³,מחנה,
vocab_0024,ชา,chaa¹,chaa,תה,tea,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",chaa¹,תה,
vocab_0025,อะไร,a-rai¹,a-rai,מה?,what,medium_normalized_match,5,True,"תומר 1,csv.txt","תומר 1,csv.txt",a-rai¹,מה?,
vocab_0026,ดื่ม,deuum²,deuum,לשתות,drink,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",deuum²,לשתות,
vocab_0027,บ้าน,baan³,baan,בית,house / home,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",baan³,בית,
vocab_0028,ใต้,dtai³,tai,דרום / מתחת,south / under,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",dtai³,דרום / מתחת,
vocab_0029,ร้อน,rawn¹,rawn,חם,hot,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",rawn¹,חם,
vocab_0030,ไม่,mai¹?,mai?,מילת שאלה (כן/לא),not / no,high_context_disambiguated,5,True,"תומר 1,csv.txt","תומר 1,csv.txt",mai¹?,מילת שאלה (כן/לא),
vocab_0031,ใช่ไหม,chai³ mai¹?,chai mai?,נכון?,right? / correct?,high,5,True,"תומר 1,csv.txt","תומר 1,csv.txt",chai³ mai¹?,נכון?,
vocab_0032,ไม่,mai³,mai,לא / אל,not / no,high_context_disambiguated,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",mai³,לא / אל,
vocab_0033,สวย,suai⁵,suai,יפה,beautiful,high_context_disambiguated,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",suai⁵,יפה,
vocab_0034,,sa-baai¹ dii¹ mai¹?,sa-baai dii mai?,מה שלומך?,,needs_review_no_script,review_queue,False,"תומר 1,csv.txt","תומר 1,csv.txt",sa-baai¹ dii¹ mai¹?,מה שלומך?,
vocab_0035,,sa-baai¹ dii¹,sa-baai dii,הכל טוב / בסדר,,needs_review_no_script,review_queue,False,"תומר 1,csv.txt","תומר 1,csv.txt",sa-baai¹ dii¹,הכל טוב / בסדר,
vocab_0036,,mai³ sa-baai¹,mai sa-baai,לא מרגיש טוב,,needs_review_no_script,review_queue,False,"תומר 1,csv.txt","תומר 1,csv.txt",mai³ sa-baai¹,לא מרגיש טוב,
vocab_0037,ตีหมา,dtii¹ maa¹,tii maa,להרביץ לכלב,hit a dog,high,3,True,"תומר 1,csv.txt","תומר 1,csv.txt",dtii¹ maa¹,להרביץ לכלב,
vocab_0038,ตอบ,dtawb²,tawb,לענות,answer,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt; תומר 7,csv.txt",dtawb²,לענות,
vocab_0039,งู,nguu¹,nguu,נחש,snake,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",nguu¹,נחש,
vocab_0040,เงิน,ngoen¹,ngoen,כסף,money,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",ngoen¹,כסף,
vocab_0041,งาน,ngaan¹,ngaan,עבודה,work / job,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",ngaan¹,עבודה,
vocab_0042,มี,mii¹,mii,יש,have / there is,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",mii¹,יש,
vocab_0043,ทำงาน,tam¹-ngaan¹,tam-ngaan,לעבוד,work,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",tam¹-ngaan¹,לעבוד,
vocab_0044,ทำ,tam¹,tam,לעשות / להכין,do / make,high_context_disambiguated,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",tam¹,לעשות / להכין,
vocab_0045,หลัง,lang⁵,lang,חזרת,back / behind / after,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",lang⁵,חזרת,
vocab_0046,อร่อย,a¹-roi²,a-roi,טעים,delicious,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",a¹-roi²,טעים,
vocab_0047,นิดหน่อย,nit-noi²,nit-noi,קצת,a little,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",nit-noi²,קצת,
vocab_0048,จะ,ja²,ja,מילת עתיד,future marker / will,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",ja²,מילת עתיד,
vocab_0049,กินอะไร,gin¹ a¹-rai¹?,gin a-rai?,מה אתה אוכל?,What are you eating?,medium_normalized_match,5,True,"תומר 2,csv.txt","תומר 2,csv.txt",gin¹ a¹-rai¹?,מה אתה אוכל?,
vocab_0050,ผม/ฉันรักคุณ,pom⁵/chan⁵ rak¹ kun¹,pom/chan rak kun,אני אוהב/ת אותך,I love you,high,4,True,"תומר 2,csv.txt","תומר 2,csv.txt",pom⁵/chan⁵ rak¹ kun¹,אני אוהב/ת אותך,
vocab_0051,รักผม/ฉันไหม,rak¹ kun¹ pom⁵/chan⁵,rak kun pom/chan,אתה אוהב אותי,Do you love me? (review),high,4,True,"תומר 2,csv.txt","תומר 2,csv.txt",rak¹ kun¹ pom⁵/chan⁵,אתה אוהב אותי,
vocab_0052,เปิด,bpoed²,poed,להדליק / לפתוח,open / turn on,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",bpoed²,להדליק / לפתוח,
vocab_0053,ชอบ,chawb³,chawb,לאהוב / לחבב,like,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",chawb³,לאהוב / לחבב,
vocab_0054,โรงเรียน,rong¹-rian¹,rong-rian,בית ספר,school,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",rong¹-rian¹,בית ספר,
vocab_0055,เรียน,rian¹,rian,ללמוד,study / learn,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",rian¹,ללמוד,
vocab_0056,โรง,rong¹,rong,מקום מפגש,building / hall,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",rong¹,מקום מפגש,
vocab_0057,ขอโทษ,kaw⁵-tohd³,kaw-tohd,סליחה,sorry / excuse me,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",kaw⁵-tohd³,סליחה,
vocab_0058,คน,khon¹,khon,אנשים,person / people,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",khon¹,אנשים,
vocab_0059,เขียน,kian⁵,kian,לכתוב,write,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",kian⁵,לכתוב,
vocab_0060,ข้าวเหนียวมะม่วง,kaaw³-niaw³ ma¹-muang³,kaaw-niaw ma-muang,סטיקי רייס מנגו,mango sticky rice,medium_normalized_match,4,True,"תומר 2,csv.txt","תומר 2,csv.txt",kaaw³-niaw³ ma¹-muang³,סטיקי רייס מנגו,
vocab_0061,ผัด,pad²,pad,מוקפץ,stir-fried,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",pad²,מוקפץ,
vocab_0062,ขอ,koh⁵,koh,אפשר לקבל...,request / may I have,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",koh⁵,אפשר לקבל...,בצורה מנומסת
vocab_0063,เรียกว่าอะไร,riag³ a¹-rai¹?,riag a-rai?,איך קוראים ל...?,What is it called?,medium_normalized_match,5,True,"תומר 2,csv.txt","תומר 2,csv.txt",riag³ a¹-rai¹?,איך קוראים ל...?,
vocab_0064,คุณล่ะ,kun¹ la²,kun la,ואתה/ואת?,and you?,high,5,True,"תומר 2,csv.txt","תומר 2,csv.txt",kun¹ la²,ואתה/ואת?,
vocab_0065,เช่นกัน,chen¹-gan¹,chen-gan,אותו הדבר / גם אני,same / likewise,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",chen¹-gan¹,אותו הדבר / גם אני,
vocab_0066,ยินดี,yin¹-dii¹,yin-dii,ברוך הבא,welcome / pleased,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",yin¹-dii¹,ברוך הבא,
vocab_0067,รู้,ruu⁴,ruu,לדעת (מידע),know,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",ruu⁴,לדעת (מידע),
vocab_0068,รู้จัก,ruu⁴-jag²,ruu-jag,להכיר (אנשים/מקומות),know / be acquainted with,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",ruu⁴-jag²,להכיר (אנשים/מקומות),
vocab_0069,รู้ไหม,ruu⁴ mai¹?,ruu mai?,אתה יודע?,Do you know?,high,5,True,"תומר 2,csv.txt","תומר 2,csv.txt",ruu⁴ mai¹?,אתה יודע?,
vocab_0070,ไม่รู้,mai³ ruu⁴,mai ruu,לא יודע,do not know,high,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",mai³ ruu⁴,לא יודע,
vocab_0071,ยังไม่รู้,yang¹ mai³ ruu⁴,yang mai ruu,עדיין לא יודע,do not know yet,high,4,True,"תומר 2,csv.txt","תומר 2,csv.txt",yang¹ mai³ ruu⁴,עדיין לא יודע,
vocab_0072,นาที,naa-tii¹,naa-tii,דקה,minute,medium_normalized_match,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",naa-tii¹,דקה,
vocab_0073,หาด,haad²,haad,חוף,beach,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",haad²,חוף,
vocab_0074,ได้,dai³,dai,יכול,can / able,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",dai³,יכול,
vocab_0075,พูด,puud³,puud,לדבר,speak,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",puud³,לדבר,
vocab_0076,พูดไทยได้ไหม,puud³ Thai dai³ mai¹?,puud thai dai mai?,אתה יכול לדבר תאילנדית?,Can you speak Thai?,high,5,True,"תומר 2,csv.txt","תומר 2,csv.txt",puud³ Thai dai³ mai¹?,אתה יכול לדבר תאילנדית?,
vocab_0077,พริก,prik¹,prik,צ'ילי,chili,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",prik¹,צ'ילי,
vocab_0078,ไม่ใส่,mai³ sai²,mai sai,בלי / לא לשים,without / do not put,high,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",mai³ sai²,בלי / לא לשים,
vocab_0079,น้ำตาล,nam¹ dtaan¹,nam taan,סוכר,sugar,high,3,True,"תומר 2,csv.txt","תומר 2,csv.txt",nam¹ dtaan¹,סוכר,
vocab_0080,เพิ่ม,peum³,peum,להוסיף,add / increase,high,1,True,"תומר 2,csv.txt","תומר 2,csv.txt",peum³,להוסיף,
vocab_0081,ที่นี่,tii-nii,tii-nii,פה,here,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",tii-nii,פה,
vocab_0082,ภาษา,paa-saa,paa-saa,שפה,language,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",paa-saa,שפה,
vocab_0083,ประเทศ,bpra-ted,pra-ted,מדינה,country,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",bpra-ted,מדינה,
vocab_0084,ทุกคน,tuk-kon,tuk-kon,כולם,everyone,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",tuk-kon,כולם,
vocab_0085,ไม่รอไม่ขอ,mai ro mai koh,mai ro mai koh,אל תחכה,"do not wait, do not ask (review)",high,4,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",mai ro mai koh,אל תחכה,
vocab_0086,พอดี/พอไหม,paw-dii/paw mai,paw-dii/paw mai,מספיק / לא מספיק,enough / is it enough?,medium_normalized_match,4,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",paw-dii/paw mai,מספיק / לא מספיק,
vocab_0087,ไปไหน,bpai nai?,pai nai?,לאן אתה הולך?,Where are you going?,high,5,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",bpai nai?,לאן אתה הולך?,
vocab_0088,ทบทวน,tobp-tuan,top-tuan,לחזור (על חומר),review,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",tobp-tuan,לחזור (על חומר),
vocab_0089,พี่,pii,pii,אח/אחות מבוגר/ת,older sibling / senior,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",pii,אח/אחות מבוגר/ת,
vocab_0090,ลืม,leuum,leuum,לשכוח,forget,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",leuum,לשכוח,
vocab_0091,และ,laeh,laeh,ו...,and,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",laeh,ו...,
vocab_0092,คุณพูดภาษาอะไร,kun puud paasaa a-rai?,kun puud paasaa a-rai?,איזו שפה אתה מדבר?,What language do you speak?,medium_normalized_match,5,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",kun puud paasaa a-rai?,איזו שפה אתה מדבר?,
vocab_0093,เสร็จ,sed,sed,לסיים,finish / done,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",sed,לסיים,
vocab_0094,เย็น,yen,yen,קר,cold / evening,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",yen,קר,
vocab_0095,คุณมาจาก…,kun maa jaag (place),kun maa jaag place,מאיפה אתה?,Where are you from?,high,5,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",kun maa jaag (place),מאיפה אתה?,
vocab_0096,จาก,jaag,jaag,מ... (מקור),from,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",jaag,מ... (מקור),
vocab_0097,ไหน/ที่ไหน,nai/tii nai,nai/tii nai,איפה,where,high,4,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",nai/tii nai,איפה,
vocab_0098,ห้องครัว,hong krua,hong krua,מטבח,kitchen,high,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",hong krua,מטבח,
vocab_0099,ใจ,jaai,jaai,לב,heart / mind,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",jaai,לב,
vocab_0100,ใจดี,jaai dii,jaai dii,לב טוב,kind,high,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",jaai dii,לב טוב,
vocab_0101,ทำไม,tam-mai?,tam-mai?,למה?,why?,medium_normalized_match,5,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt; תומר 5,csv.txt",tam-mai?,למה?,
vocab_0102,มาก,maag,maag,מאוד,very / much,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",maag,מאוד,
vocab_0103,สอน,sawn,sawn,ללמד,teach,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",sawn,ללמד,
vocab_0104,แพง,peang,peang,יקר,expensive,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",peang,יקר,
vocab_0105,ทุกอย่าง,tug-yaang,tug-yaang,הכל,everything,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",tug-yaang,הכל,
vocab_0106,แต่,dtae,tae,אבל,but,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",dtae,אבל,
vocab_0107,ตก,tok,tok,ליפול,fall,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",tok,ליפול,
vocab_0108,น้ำตก,nam-tok,nam-tok,מפל,waterfall,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",nam-tok,מפל,
vocab_0109,คิด,kid,kid,לחשוב,think,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",kid,לחשוב,
vocab_0110,คุณคิดอะไร,kun kid a-rai?,kun kid a-rai?,על מה אתה חושב?,What are you thinking?,medium_normalized_match,5,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",kun kid a-rai?,על מה אתה חושב?,
vocab_0111,ช่วย,chuai,chuai,לעזור,help,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",chuai,לעזור,
vocab_0112,ต่อ,dtaw,taw,להמשיך / להאריך,continue / extend,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",dtaw,להמשיך / להאריך,
vocab_0113,ห้า,haa,haa,לראות / לחפש,five,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",haa,לראות / לחפש,
vocab_0114,หม้อ,maw³,maw,סיר,pot,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",maw³,סיר,
vocab_0115,หมอ,maws,maws,רופא,doctor,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",maws,רופא,
vocab_0116,บวก,buag,buag,פלוס,plus,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",buag,פלוס,
vocab_0117,ลบ,löb,loeb,מינוס,minus,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",löb,מינוס,
vocab_0118,เท่ากับ,ta-gab,ta-gab,שווה,equals,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",ta-gab,שווה,
vocab_0119,เท่า,dtao,tao,סך הכל,equal / total,high,1,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",dtao,סך הכל,
vocab_0120,เท่าไร,tao-rai,tao-rai,כמה (מחיר),how much?,medium_normalized_match,3,True,"תומר 3,csv.txt","תומר 3,csv.txt; תומר4,csv.txt",tao-rai,כמה (מחיר),
vocab_0121,แล้วแต่คุณ,laew-dtua kun,laew-tua kun,תלוי בך,up to you,medium_normalized_match,4,True,"תומר4,csv.txt","תומר4,csv.txt",laew-dtua kun,תלוי בך,
vocab_0122,กี่โมง,gii mong?,gii mong?,איזו שעה?,what time?,high,5,True,"תומר4,csv.txt","תומר4,csv.txt",gii mong?,איזו שעה?,
vocab_0123,ตอนนี้,dtua-ni,tua-ni,עכשיו,now,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",dtua-ni,עכשיו,
vocab_0124,วันนี้,wan-nii,wan-nii,היום,today,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",wan-nii,היום,
vocab_0125,พรุ่งนี้,pru-ngii,pru-ngii,מחר,tomorrow,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",pru-ngii,מחר,
vocab_0126,เมื่อวาน,meua-wan,meua-wan,אתמול,yesterday,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",meua-wan,אתמול,
vocab_0127,ตอนเช้า,dtan-chao,tan-chao,בוקר,morning,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",dtan-chao,בוקר,
vocab_0128,ตอนเที่ยง,dtan-tiang,tan-tiang,צהריים,noon,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",dtan-tiang,צהריים,
vocab_0129,ตอนเย็น,dtan-yen,tan-yen,ערב,evening,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",dtan-yen,ערב,
vocab_0130,ตอนกลางคืน,dtan-klang-keun,tan-klang-keun,לילה,night,medium_normalized_match,4,True,"תומר4,csv.txt","תומר4,csv.txt",dtan-klang-keun,לילה,
vocab_0131,กินข้าว,gin-kaaw,gin-kaaw,לאכול (אורז/ארוחה),eat / have a meal,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",gin-kaaw,לאכול (אורז/ארוחה),
vocab_0132,หนึ่ง,nueng,nueng,אחד,one,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",nueng,אחד,
vocab_0133,สอง,song,song,שתיים,two,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",song,שתיים,
vocab_0134,สาม,saam,saam,שלוש,three,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",saam,שלוש,
vocab_0135,สี่,sii,sii,ארבע,four,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",sii,ארבע,
vocab_0136,ห้า,haa,haa,חמש,five,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",haa,חמש,
vocab_0137,หก,hok,hok,שש,six,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",hok,שש,
vocab_0138,เจ็ด,jet,jet,שבע,seven,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",jet,שבע,
vocab_0139,แปด,bpaed,paed,שמונה,eight,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",bpaed,שמונה,
vocab_0140,เก้า,gao,gao,תשע,nine,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",gao,תשע,
vocab_0141,สิบ,sip,sip,עשר,ten,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",sip,עשר,
vocab_0142,สิบเอ็ด,sip-et,sip-et,אחת עשרה,eleven,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",sip-et,אחת עשרה,
vocab_0143,ยี่สิบ,yii-sip,yii-sip,עשרים,twenty,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",yii-sip,עשרים,
vocab_0144,ร้อย,roi,roi,מאה,hundred,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",roi,מאה,
vocab_0145,พัน,pan,pan,אלף,thousand,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",pan,אלף,
vocab_0146,หมื่น,meun,meun,עשרת אלפים,ten thousand,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",meun,עשרת אלפים,
vocab_0147,แสน,san,san,מאה אלף,hundred thousand,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",san,מאה אלף,
vocab_0148,ล้าน,lan,lan,מיליון,million,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",lan,מיליון,
vocab_0149,หน้า,naa,naa,פנים / עונה / דף,face / season / page,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",naa,פנים / עונה / דף,
vocab_0150,หน้าร้อน,naa-rawn,naa-rawn,העונה החמה,hot season,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",naa-rawn,העונה החמה,
vocab_0151,หน้าฝน,naa-fon,naa-fon,עונת הגשמים,rainy season,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",naa-fon,עונת הגשמים,
vocab_0152,หน้าหนาว,naa-nao,naa-nao,העונה הקרה,cold season,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",naa-nao,העונה הקרה,
vocab_0153,ใกล้,glai,glai,קרוב (טון נמוך),near,high_context_disambiguated,1,True,"תומר4,csv.txt","תומר4,csv.txt",glai,קרוב (טון נמוך),
vocab_0154,ไกล,glai,glai,רחוק (טון גבוה),far,high_context_disambiguated,1,True,"תומר4,csv.txt","תומר4,csv.txt",glai,רחוק (טון גבוה),
vocab_0155,ต้อง,dtong,tong,חייב,must,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",dtong,חייב,
vocab_0156,กลัว,glua,glua,לפחד,afraid,high,1,True,"תומר4,csv.txt","תומר4,csv.txt",glua,לפחד,
vocab_0157,ประมาณ,bpra-maan,pra-maan,בערך,about / approximately,medium_normalized_match,3,True,"תומר4,csv.txt","תומר4,csv.txt",bpra-maan,בערך,
vocab_0158,กลับ,glap,glap,לחזור,return,high,1,True,"תומר4,csv.txt","תומר4,csv.txt; תומר 7,csv.txt",glap,לחזור,
vocab_0159,กลับบ้าน,glap baan,glap baan,לחזור הביתה,return home,high,3,True,"תומר4,csv.txt","תומר4,csv.txt",glap baan,לחזור הביתה,
